COMMON NAME,Inventory Number,Featured Images,Scientific name ,Nomenclature adopted by Austrian scientists,Collection date,MAIN PLACES,Collection place,Dimension,Indice IUCN,Links, Subject ,Class,Owner,References,State of preservation,spline-code,COORDINATES DD,COORDINATES DMS,Description,Notes,latitude,longitude
Black-browed Albatross/Albatro dai sopraccigli neri,A3104,https://globalsearoutes.net/wp-content/uploads/2024/07/A-03104.jpg,"Thalassarche melanophris melanophris (Temminck, CJ 1828)",Diomedea melanophris Boie,"4 August 1857, 20 September 1857",ATLANTIC OCEAN,"Atlantic Ocean, 23°9‘ South and 41°52’ W and 36° 22‘ South and 5° 29’ East",63x48x37 cm ,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=67DD23DB,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 148

Nouveau recueil de planches coloriées d'oiseaux : pour servir de suite et de complément aux planches enluminées de Buffon, Strasbourgh, Chez Legras Imbert et Comp, 1838, p. 456",good,,"-36.366667, -5.483333","36°22'00.0""S 5°29'00.0""W","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":

""An individual shot on 4 August 1857 at 23°9‘ South and 41°52’ West by Baron Wüllerstorf. Brown iris. Body length 2‘ 8 ½ “, flight distance 6” 10’.
One female (120) shot by Baron Pöckh on the same day and place.
A male shot on 20 September 1857 at 36° 22‘ South and 5° 29’ East by Baron Wüllerstorf, brown iris. Total length 2' 10 ½ . Flight distance 6'8’. Weight 5 ¾ lbs. One specimen in Chile by Messrs. Von Frauenfeld. Zelebor"", (p. 148)",,-36.366667,-5.483333
Black-chested buzzard-eagle/Poiana acquilina pettonero,A3150,https://globalsearoutes.net/wp-content/uploads/2024/05/A-03150.jpg,"Geranoaetus melanoleucus (Vieillot, LJP  1819)",Geranoaetus melanoleucus (Vieill),April - May 1859,VALPARAISO (CHILE),"Valparaiso, Chile ",52x31x63 cm,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=51405606,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 7

Nouveau dictionnaire d'histoire naturelle, appliquée aux arts, à l'agriculture, à l'économie rurale et domestique, à la médecine, etc., Paris, Chez Deterville, 1816-1819, ed. 14, 36 vols., vol. V, p. 57",good ,,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":

""Among the numerous specimens, some old and some young, brought back by the Novara expedition, there is also one killed by Mr v. Frauenfeld, which is characterised by its unusual size. Its dimensions are: length 2' 6"" 6"", wings 21"", beak to the corner of the mouth 9"" 7"""", tail 13"", while on another young specimen from Chile the wings are only 18 ¾"", the beak to the corner of the mouth 2"" 2"" and the tail measures 10"" (p. 7)",,44.314833,9.320917
Black-eared Fairy/Fatina guancenere,A2253,https://globalsearoutes.net/wp-content/uploads/2024/04/A-02253.jpg,"Heliothryx auritus auriculatus (Nordmann, AD 1835)",unknown,unknown,RIO DE JANEIRO,Probably Brazil ,10.5x13x13.5 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=18A7C2BD,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"G. A. Erman, Reise um die Erde durch Nord-Asien und die beiden Oceane, in der Jahren 1828, 1829 un 1830 ausgeführt. Naturistoricher Atlas, Berlin, G. Reimer, 1835, A. von Nordmann, ""I. Vögel"", p. 5, pl. 37",good ,gsa2253-ce271e802424f258e4ecfdd8be2242a3/,"-22.959444, -43.277778",22°57′34″S 43°16′40″W,"It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-22.959444,-43.277778
Black-goggled Tanager/Tanagra occhineri,A3297,https://globalsearoutes.net/wp-content/uploads/2024/04/A-03297-1.jpg,"Trichothraupis melanops (Vieillot, LJP 1818)",unknown,unknown,RIO DE JANEIRO,Probably Brazil ,14x10x16 cm ,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3EA3B6D4,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Nouveau dictionnaire d'histoire naturelle, appliquée aux arts, à l'agriculture, à l'économie rurale et domestique, à la médecine, etc., Paris, Chez Deterville, 1816-1819, ed. 21, 36 vols., vol. XXI, p. 452-453",good ,gsa3297-f51877ac76848d6c11f1e0dfa02e25ec/,"-22.959444, -43.277778",22°57′34″S 43°16′40″W,"It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-22.959444,-43.277778
Bronzed-tailed Barbthroat/Colibrì barbuto codabianca,A2269,https://globalsearoutes.net/wp-content/uploads/2024/07/A-02269.jpg,"Threnetes leucurus (Linnaeus, C  1766)",unknown,unknown,RIO DE JANEIRO,Probably Brazil ,9x11x13 cm,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E9C2DFD5,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"C. von Linnè, Systema Naturae per Regna Tria Naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis,Holmiae, Imprensis Laurentii Salvii, 1758, p. 190",good ,,"-22.959444, -43.277778",22°57′34″S 43°16′40″W,"It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-22.959444,-43.277778
Brown skua/Stercorario maggiore,A1909,https://globalsearoutes.net/wp-content/uploads/2024/04/A-01909.jpg,"Stercorarius skua (Brünnich, MT 1764)",Stercorarius antarcticus (Lesson),November 1857,ST. PAUL ISLAND,Island of Saint Paul ,33x32x36 cm ,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=04A47F1D,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 150.

M. Th. Brünnich, Ornithologia borealis, sistens collectionem avium, etc., Hafniæ [Copenaghen], Typis Andreæ Hartvigii Godiche, 1764, p. 33.

R. P. Lesson, Traité d'ornithologie, ou, Tableau méthodique des ordres, sous-ordres, familles, tribus, genres, sous-genres et races d'oiseaux, etc., Bruxelles, Chez F.G. Levrault, 1831, 2 vols., vol. I, p. 616.",good,gsa1909-4ec9f3d313fadf7b5309821b73005f3a/,"-38.730000, 77.522222","38°43'48.0""S 77°31'20.0""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":""On a male shot in November, the iris was dark black-brown. Total length 1' 9"", flight distance 4' 4y 2’. In addition, four females and two without sex indication were collected from the adult specimens. One very young bird (198) was taken from the nest in November. Brown iris, blue-grey wings, dark lead-grey beak, dark brown extremities, olive-brown feet, light lead-grey on the sides. A second young individual is labelled as No. 198. St. antarcticus is a very common bird throughout the island, but especially near the penguin breeding areas, where it causes considerable damage, as it lives mainly on eggs and young penguins. The skuas' nests are scattered all over the island. Zlbr. [Zelebor]. The two young are still largely covered in lanugo"" (p. 150).",,-38.73,77.522222
Brown-headed Cowbird/Molotro testabruna,A3424,https://globalsearoutes.net/wp-content/uploads/2024/06/A-03424.jpg,"Molothrus ater (Boddaert, P 1783)",unknown,unknown,N. A.,unknown,10x10x16 cm,lower risk,https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=1E1AB415D083AAD4&sec=summary,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"P. Boddaert, Table des planches enluminéez d'histoire naturelle de M. D'Aubenton : avec les denominations de M.M. de Buffon, Brisson, Edwards, Linnaeus et Latham, precedé d'une notice des principaux ouvrages zoologiques enluminés, Utrecht, 1783, p. 37",good ,,"NAN, NAN",,"It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".",The bird's range does not correspond with the stops made by the frigate Novara. It is likely that the find was not collected during the expedition ,NAN, NAN
Brown-throated Barbet/Barbetto golabruna,A4055,https://globalsearoutes.net/wp-content/uploads/2024/06/A-04055.jpg,"Psilopogon corvinus Temminck, CJ",Megalaima corvina Temminck ,5-29 May 1858,JAVA,"Java, Indonesia",27x7x6 cm ,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2A5A8428,Zoology,Birds,Civico Museo di Storia Naturale di Trieste," Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 100

C.J. Temminck, Nouveau recueil de planches coloriées d'oiseaux : pour servir de suite et de complément aux planches enluminées de Buffon, édition in-folio et in-4⁰ de l'Imprimerie royale, 1770, 1838, p. 55

",good ,,"-6.175000, 106.827500","6°10'30.0""S 106°49'39.0""E","It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".",,-6.175,106.8275
Brujo Flycatcher/Pigliamosche vermiglio,A1759,https://globalsearoutes.net/wp-content/uploads/2024/07/A-01759.jpg,"Pyrocephalus rubinus (Boddaert, P 1783)",unknown,unknow,RIO DE JANEIRO,Probably Brazil or Chile ,"12x15x13,5 cm ",lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A80DB989,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Boddaert Pieter, Table des planches enluminéez d'histoire naturelle de M. D'Aubenton : avec les denominations de M.M. de Buffon, Brisson, Edwards, Linnaeus et Latham, precedé d'une notice des principaux ouvrages zoologiques enluminés, Utrecht, 1783, p. 42",good ,,"-22.959444, -43.277778",22°57′34″S 43°16′40″W,"It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-22.959444,-43.277778
Bufonidae/Bufonidae,A406,https://globalsearoutes.net/wp-content/uploads/2024/05/E-0406new.jpg,Bufonidae Gray 1825,Bufonidae,unknown,N. A.,unknown,10x4.5x14.5 cm,lower risk,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Bufonidae,Zoology,Amphibians,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, F. Steindachner, ""Amphibien"", pp. 39-47",good ,,,,"The species has not been identified, but it is probable that the find comes from the Novara expedition.",,#VALUE!,#VALUE!
Cape bishop/Vescovo giallo,A1691,https://globalsearoutes.net/wp-content/uploads/2024/05/A-01691.jpg,"Euplectes capensis (Linnaeus, C 1766)",Ploceus Capenins  Linné,2-26 October 1857,CAPE COLONY,"Cape of Good Hope, South Africa",11.5x12x19 cm,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=97A73D9F,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 90

C. Linnaeus, Systema Naturae, Holmiae [Stockholm], Impensis Direct. Laurentii Salvii, 1766-1768, ed. 12, 3 vols., vol. I, pt. 1, p.306",good ,,"-34.025167, 18.412611","34°01'30.6""S 18°24'45.4""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":

""Males and females shot on the moor near Constatin. Not uncommon in foliage, especially on Ericaceae, in which it also mostly builds its nest. Because of its excellent colouring, this bird can be seen from a considerable distance and is therefore easy to kill. Zelebor"" (p.90)",,-34.025167,18.412611
